form	lemma	POS	morph
		
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
མ་	མ་	PART
དྷྱ་		NON_WORD
མ་	མ་	PART
ཀ་	ཀ་	DET
ཨ་བ་	ཨ་བ་	NO_POS
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་མ་	ནཱ་མ་	NO_POS
།		PUNCT
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
།		PUNCT
དབུ་མ་	དབུ་མ་	PROPN
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
ཉན་ཐོས་	ཉན་ཐོས་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
འབྲིང་	འབྲིང་	NOUN
རྣམས་	རྣམས་	DET
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
སྐྱེ་	སྐྱེ་	VERB
། །		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འཁྲུངས་	འཁྲུངས་	NO_POS
ཤིང་	ཅིང་	PART
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
སེམས་	སེམས་	NOUN
དང་	དང་	NO_POS
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
མེད་	མེད་	VERB
བློ་	བློ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
ནི་	ནི་	NO_POS
རྒྱལ་སྲས་	རྒྱལ་སྲས་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
། །		PUNCT
གང་	གང་	NO_POS
ཕྱི་	ཕྱི་	OTHER
བརྩེ་	བརྩེ་	NO_POS
ཉིད་	ཉིད་	DET
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ལོ་ཏོག་	ལོ་ཏོག་	NOUN
ཕུན་ཚོགས་	ཕུན་ཚོགས་	ADJ
འདི་	འདི་	DET
འི་	གི་	PART
། །		PUNCT
ས་བོན་	ས་བོན་	NOUN
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
སྤེལ་	སྤེལ་	VERB
ལ་	ལ་	PART
ཆུ་	ཆུ་	NOUN
འདྲ་	འདྲ་	VERB
ཡུན་རིང་	ཡུན་རིང་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
གནས་	གནས་	NOUN
ལ་	ལ་	PART
སྨིན་པ་	སྨིན་པ་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
འདོད་	འདོད་	VERB
གྱུར་པ་	གྱུར་པ་	VERB
། །		PUNCT
དེ་ཕྱིར་	དེ་ཕྱིར་	NO_POS
བདག་	བདག་	PRON
གིས་	གིས་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྟོད་པ་	བསྟོད་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
༑ །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
ང་	ང་	PRON
ཞེ་	ཅེས་	PART
བདག་	བདག་	PRON
ལ་	ལ་	PART
ཞེན་	ཞེན་	VERB
གྱུར་	གྱུར་	VERB
ཅིང་	ཅིང་	PART
། །		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
འདི་	འདི་	DET
ཞེ་	ཅེས་	PART
དངོ་	དངོ་	NOUN
ལ་	ལ་	PART
ཆགས་	ཆགས་	VERB
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
། །		PUNCT
ཟོ་ཆུན་	ཟོ་ཆུན་	NO_POS
འཕྱན་	འཕྱན་	NO_POS
ལྟ་	ལྟ་	OTHER
རང་དབང་	རང་དབང་	NOUN
མེད་པ་	མེད་པ་	VERB
ཡི་	གི་	PART
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
གང་དེ་	གང་དེ་	NO_POS
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
གཡོ་བ་	གཡོ་བ་	VERB
འི་	གི་	PART
ཆུ་	ཆུ་	NOUN
ཡི་	གི་	PART
ནང་	ནང་	NOUN
གི་	གི་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
ལྟ་	ལྟ་	OTHER
། །		PUNCT
གཡོ་	གཡོ་	VERB
དང་	དང་	NO_POS
རང་བཞིན་	རང་བཞིན་	NOUN
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
སྟོང་པ་	སྟོང་པ་	VERB
ར་	ལ་	PART
མཐོང་བ་	མཐོང་བ་	VERB
ཡི་	གི་	PART
། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
སྲས་པོ་	སྲས་པོ་	NOUN
འདི་	འདི་	DET
ཡི་	གི་	PART
སེམས་	སེམས་	NOUN
གང་	གང་	NO_POS
འགྲོ་བ་	འགྲོ་བ་	VERB
རྣམས་	རྣམས་	DET
། །		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
གྲོལ་བ་	གྲོལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཕྱི་	ཕྱི་	OTHER
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
གྱུར་	གྱུར་	VERB
ཅིང་	ཅིང་	PART
། །		PUNCT
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
སྨོན་པ་	སྨོན་པ་	VERB
ས་	གིས་	PART
རབ་	རབ་	ADV
བསྔོ་	བསྔོ་	VERB
དགའ་བ་	དགའ་བ་	VERB
ལ་	ལ་	PART
། །		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གནས་པ་	གནས་པ་	VERB
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
དང་པོ་	དང་པོ་	ADJ
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
ཐོབ་པ་	ཐོབ་པ་	VERB
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ཡི་	གིས་	PART
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
བསྙད་	བསྙད་	VERB
དོ་	གོ་	PART
། །		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
རིགས་	རིགས་	NOUN
སུ་	སུ་	ADP
འང་	ཀྱང་	PART
སྐྱེས་པ་	སྐྱེས་པ་	VERB
སྟེ་	སྟེ་	PART
༑ །		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
གསུམ་པོ་	གསུམ་པོ་	NUM
ཐམས་ཅད་	ཐམས་ཅད་	DET
སྤངས་པ་	སྤངས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
དགའ་བ་	དགའ་བ་	VERB
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
འཆང་	འཆང་	NO_POS
ཞིང་	ཅིང་	PART
། །		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ཁམས་	ཁམས་	NOUN
